id,date,category,energy,range,color,papers,transmission,price,offer,wilaya,town,brand,model,year,volume,horses,radar de recul,toit ouvrant,alarme,direction assisstée,climatisation,jantes alliage,esp,vitres éléctriques,retroviseurs électriques,phares antibrouillard,phares xénon,feux du jour,abs
27497918,27-07-2021,mini citadine,essence,285000,gris,carte grise (safia),manuelle,104.0,négociable,medea,berrouaghia,hyundai,i10,2008,1.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0
27614450,27-07-2021,citadine,essence,28000,blanc,carte grise (safia),manuelle,264.5,offert,constantine,constantine,renault,clio,2019,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0
26945173,27-07-2021,tout terrain - suv,diesel,175460,noir,carte grise (safia),automatique,235.0,offert,alger,bouzareah,volkswagen,tiguan,2011,1.9,71.0,1,1,1,1,1,1,1,1,1,1,1,1,1
27650079,27-07-2021,citadine,essence,440,gris,carte grise (safia),manuelle,117.0,offert,ain temouchent,hammam bouhadjar,renault,clio,2012,1.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0
25895464,27-07-2021,berline,essence,151543,noir,carte grise (safia),manuelle,167.0,offert,djelfa,ain oussara,nissan,sunny,2016,2.5,130.0,1,0,1,1,1,1,1,1,1,1,1,1,1
27552062,27-07-2021,citadine,diesel,371000,blanc,carte grise (safia),manuelle,30.0,offert,batna,ain djasser,peugeot,206,2004,1.4,,0,0,0,1,0,1,1,1,0,0,0,0,1
27480501,27-07-2021,break - familiale,diesel,343,gris,carte grise (safia),manuelle,111.0,négociable,alger,birtouta,volkswagen,caddy,2010,,105.0,1,0,0,1,1,1,1,1,1,1,0,1,1
27604016,27-07-2021,moyenne berline,essence,110000,noir,carte grise (safia),automatique,368.0,offert,ain temouchent,ain temouchent,seat,leon,2016,1.5,90.0,1,1,1,1,1,1,1,1,1,1,1,1,1
27635819,27-07-2021,mini citadine,essence,95,bleu,carte grise (safia),manuelle,52.0,fixe,alger,ain benian,suzuki,maruti,2009,1.5,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0
27650079,27-07-2021,citadine,essence,440,gris,carte grise (safia),manuelle,117.0,offert,ain temouchent,hammam bouhadjar,renault,clio,2012,2.0,177.0,0,0,0,0,0,0,0,0,0,0,0,0,0
25895464,27-07-2021,berline,essence,151543,noir,carte grise (safia),manuelle,167.0,offert,djelfa,ain oussara,nissan,sunny,2016,1.8,115.0,1,0,1,1,1,1,1,1,1,1,1,1,1
27552062,27-07-2021,citadine,diesel,371000,blanc,carte grise (safia),manuelle,30.0,offert,batna,ain djasser,peugeot,206,2004,1.1,63.0,0,0,0,1,0,1,1,1,0,0,0,0,1
27480501,27-07-2021,break - familiale,diesel,343,gris,carte grise (safia),manuelle,111.0,négociable,alger,birtouta,volkswagen,caddy,2010,1.6,90.0,1,0,0,1,1,1,1,1,1,1,0,1,1
27604016,27-07-2021,moyenne berline,essence,110000,noir,carte grise (safia),automatique,368.0,offert,ain temouchent,ain temouchent,seat,leon,2016,1.5,90.0,1,1,1,1,1,1,1,1,1,1,1,1,1
27635819,27-07-2021,mini citadine,essence,95,bleu,carte grise (safia),manuelle,52.0,fixe,alger,ain benian,suzuki,maruti,2009,1.4,122.0,0,0,0,0,0,0,0,0,0,0,0,0,0
27655879,27-07-2021,berline,essence,400,gris,carte grise (safia),manuelle,111.0,négociable,skikda,el harrouch,nissan,sunny,2008,2.5,127.0,1,0,0,1,1,0,1,0,1,0,0,0,1
27509337,27-07-2021,mini citadine,essence,198000,gris,carte grise (safia),manuelle,70.0,offert,ain temouchent,beni saf,geely,ray,2011,,70.0,0,1,1,1,1,1,0,1,1,1,0,0,1
26213973,27-07-2021,pickup,diesel,207000,grenat,carte grise (safia),manuelle,90.0,offert,mascara,mohammadia,great wall,double,2008,1.0,34.0,0,0,0,1,1,1,1,1,1,1,0,0,1
27655877,27-07-2021,moyenne berline,essence,252000,blanc,carte grise (safia),automatique,197.0,négociable,alger,dar el beida,volkswagen,golf,2011,1.2,82.0,1,1,0,1,1,1,1,1,1,1,1,1,1
27646919,27-07-2021,citadine,essence,43000,gris,carte grise (safia),manuelle,330.0,offert,alger,alger centre,seat,ibiza,2019,1.0,45.0,1,1,1,1,1,1,1,1,1,1,1,1,1
27575018,27-07-2021,pickup,essence,30,gris,carte grise (safia),manuelle,164.0,fixe,blida,meftah,chery,yoki,2021,1.9,120.0,0,0,0,1,1,0,1,0,0,0,0,0,1
27637909,27-07-2021,citadine,diesel,400,gris,carte grise (safia),manuelle,278.0,négociable,alger,gue de constantine,dacia,sandero,2021,2.0,,0,0,0,1,1,0,1,1,0,1,0,1,1
27630986,27-07-2021,moyenne berline,essence,72000,bleu,carte grise (safia),automatique,565.0,négociable,alger,dar el beida,seat,leon,2019,2.0,290.0,0,1,1,1,1,1,1,1,1,1,1,1,1
26850314,27-07-2021,citadine,essence,239800,gris,carte grise (safia),manuelle,110.5,offert,blida,ben khellil,peugeot,207,2011,1.5,90.0,0,0,1,1,1,1,0,1,1,0,1,1,1
27415564,27-07-2021,tout terrain - suv,diesel,43000,rouge,carte grise (safia),automatique,495.0,fixe,alger,kouba,kia,sportage,2017,1.6,,1,1,1,1,1,1,1,1,1,1,1,1,1
27380654,27-07-2021,citadine,essence,120,gris,carte grise (safia),manuelle,83.0,offert,alger,kouba,peugeot,206,2011,1.4,68.0,0,0,0,1,1,0,0,1,0,0,1,0,1
27135702,27-07-2021,mini citadine,essence,130600,gris,carte grise (safia),manuelle,105.0,fixe,bejaia,bejaia,suzuki,alto,2013,,,0,0,1,0,0,1,0,0,0,0,0,0,0
27479089,27-07-2021,fourgonnette,essence,118000,gris,carte grise (safia),manuelle,68.0,offert,sidi bel abbes,sfissef,gonow,mini,2013,,,0,0,0,0,0,0,0,0,0,0,0,0,0
27626910,27-07-2021,commerciale,diesel,999,blanc,carte grise (safia),manuelle,60.0,négociable,setif,setif,peugeot,partner,2009,2.0,143.0,0,0,0,1,0,0,0,0,0,0,0,0,0
27562396,27-07-2021,mini citadine,essence,263,rouge,carte grise (safia),manuelle,58.5,offert,batna,batna,suzuki,alto,2007,0.8,47.0,1,0,0,1,1,0,0,0,0,0,1,1,0
27583284,27-07-2021,camionnette,diesel,98000,blanc,carte grise (safia),manuelle,123.0,négociable,bordj bou arreridj,ras el oued,kia,k2500,2019,1.6,100.0,0,0,0,1,1,0,1,1,1,1,0,0,1
27410136,27-07-2021,moyenne berline,essence,110000,blanc,carte grise (safia),manuelle,286.0,fixe,tlemcen,tlemcen,volkswagen,golf,2017,1.2,60.0,0,0,0,1,1,1,1,1,1,0,0,1,1
27628701,27-07-2021,citadine,essence,20000,noir,carte grise (safia),manuelle,382.0,négociable,setif,el eulma,volkswagen,polo,2019,1.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0
27173064,27-07-2021,berline,gpl,111111,bleu,carte grise (safia),manuelle,45.0,offert,medea,berrouaghia,daewoo,cielo,1999,2.5,,0,0,0,0,0,0,0,0,0,0,0,0,0
27171280,27-07-2021,commerciale,diesel,248000,bleu,carte grise (safia),manuelle,145.0,offert,alger,alger centre,renault,kangoo,2009,1.4,95.0,0,0,1,1,1,1,0,1,0,1,0,0,1
27653517,27-07-2021,tout terrain - suv,diesel,154356,noir,carte grise (safia),automatique,320.0,offert,ouargla,touggourt,hyundai,tucson,2012,1.9,95.0,0,0,1,0,1,1,1,0,0,1,0,1,0
27435625,27-07-2021,moyenne berline,diesel,315000,bleu,carte grise (safia),manuelle,65.0,négociable,alger,bordj el bahri,ford,focus,2006,,,0,0,0,1,1,1,1,1,0,1,0,0,1
27648808,27-07-2021,mini citadine,essence,290000,noir,carte grise (safia),manuelle,83.0,offert,ain defla,ain defla,hyundai,atos,2004,1.6,100.0,0,0,0,0,1,0,0,0,0,0,0,0,0
27653519,27-07-2021,tout terrain - suv,gpl,3003,gris,carte grise (safia),manuelle,100.0,fixe,setif,ain roua,suzuki,sx4,2010,2.5,,0,0,0,0,0,0,0,0,0,0,0,0,0
27165379,27-07-2021,citadine,diesel,109,blanc,carte grise (safia),manuelle,123.0,négociable,setif,bougaa,dacia,sandero,2018,1.4,95.0,1,0,1,1,1,0,0,1,1,1,1,1,1
27484442,27-07-2021,citadine,essence,130000,noir,carte grise (safia),automatique,260.0,négociable,tizi ouzou,tizi ouzou,audi,a1,2014,1.9,95.0,1,0,1,1,1,1,1,1,1,1,0,1,1
27363694,27-07-2021,pickup,diesel,450000,blanc,carte grise (safia),manuelle,145.0,offert,boumerdes,khemis el khechna,nissan,pickup,2007,,,0,0,0,1,0,1,0,0,0,0,0,0,1
27582986,27-07-2021,mini citadine,essence,190000,blanc,carte grise (safia),manuelle,120.0,offert,mostaganem,ain tadles,hyundai,i10,2016,1.6,100.0,0,0,0,1,1,0,1,1,1,1,1,0,1
24247088,27-07-2021,citadine,essence,500000,blanc,carte grise (safia),manuelle,41.0,offert,tipaza,tipaza,renault,4,1986,,,0,0,0,0,0,0,0,0,0,0,0,0,0
27599189,27-07-2021,citadine,essence,97000,blanc,carte grise (safia),manuelle,158.0,négociable,guelma,ain hessania,peugeot,208,2015,1.4,75.0,0,1,1,1,1,1,1,1,1,1,0,1,1
27615456,27-07-2021,berline,essence,99999,gris,carte grise (safia),manuelle,50.0,offert,tipaza,hadjout,mazda,323,1982,1.9,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0
27104701,27-07-2021,moyenne berline,diesel,378600,noir,carte grise (safia),manuelle,130.0,négociable,oran,es senia,renault,megane,2008,2.0,,1,1,0,1,1,1,1,1,1,1,1,1,1
26681450,27-07-2021,tout terrain - suv,diesel,340,noir,carte grise (safia),manuelle,110.0,négociable,ain defla,ain soltane,nissan,x,2010,1.9,100.0,0,0,1,1,1,1,1,1,1,1,0,0,1
27629342,27-07-2021,moyenne berline,essence,68000,noir,carte grise (safia),automatique,425.0,fixe,mila,mila,seat,leon,2019,,211.0,1,1,1,1,1,1,1,1,1,1,1,1,1
27628468,27-07-2021,citadine,diesel,150,gris,carte grise (safia),manuelle,303.0,fixe,souk ahras,souk ahras,dacia,sandero,2021,2.0,184.0,1,0,0,1,1,1,1,1,1,1,1,0,1
27621013,27-07-2021,commerciale,diesel,100100,gris,licence moudjahid / délai,manuelle,65.0,négociable,boumerdes,ouled moussa,peugeot,partner,2020,1.6,105.0,1,0,1,1,1,1,1,1,1,1,1,1,1
